Player Name,Team,Price,pid,role,isoversea,isCap,isbatsman,isbowler,iswicketkeeper,base,runs_per_match,matches_bat,strike_rate_bat,average_bat,wickets_per_match,matches_bowl,economy_rate,strike_rate_bowl,average_bowl,bat_powerplay,bat_death,bowl_powerplay,bowl_death,fair,supply,bid team,no overseas,demand_team,demand_other,purse bid,max purse,avg purse,output
Mohammed Shami,Gujrat Titans,6.25,160,bo,0,1,0,1,0,2.0,1.6666666666666667,6,90.9090909090909,3.333333333333333,1.2432432432432432,37,8.840989399293287,27.195652173913043,18.456521739130437,0.0,25.749,16.7311072056239,10.81983915927077,7.975,4,Rajastan Royals,2.0,8.0,55.0,49.0,68.0,49.4125,0
Mohammed Shami,Gujrat Titans,6.25,160,bo,0,1,0,1,0,2.0,1.6666666666666667,6,90.9090909090909,3.333333333333333,1.2432432432432432,37,8.840989399293287,27.195652173913043,18.456521739130437,0.0,25.749,16.7311072056239,10.81983915927077,7.975,4,Royal Challengers Banglore,1.0,6.0,57.0,57.0,68.0,48.4125,0
Mohammed Shami,Gujrat Titans,6.25,160,bo,0,1,0,1,0,2.0,1.6666666666666667,6,90.9090909090909,3.333333333333333,1.2432432432432432,37,8.840989399293287,27.195652173913043,18.456521739130437,0.0,25.749,16.7311072056239,10.81983915927077,7.975,4,Sunrisers Hyderabad,1.0,8.0,55.0,68.0,59.8,48.0625,0
Faf du Plessis,Royal Challengers Banglore,7.0,19,ba,1,1,1,0,0,2.0,31.939393939393938,66,138.41103086014445,36.98245614035088,0.0,0,0.0,0.0,0.0,572.7073072188742,218.14546099290783,0.0,0.0,6.2825,5,Chennai Super Kings,1.0,4.0,27.0,48.0,68.0,48.75625,0
Faf du Plessis,Royal Challengers Banglore,7.0,19,ba,1,1,1,0,0,2.0,31.939393939393938,66,138.41103086014445,36.98245614035088,0.0,0,0.0,0.0,0.0,572.7073072188742,218.14546099290783,0.0,0.0,6.2825,5,Delhi Capitals,1.0,4.0,27.0,47.5,68.0,48.81875,0
Faf du Plessis,Royal Challengers Banglore,7.0,19,ba,1,1,1,0,0,2.0,31.939393939393938,66,138.41103086014445,36.98245614035088,0.0,0,0.0,0.0,0.0,572.7073072188742,218.14546099290783,0.0,0.0,6.2825,5,Gujrat Titans,1.0,2.0,29.0,45.75,68.0,49.0375,0
Faf du Plessis,Royal Challengers Banglore,7.0,19,ba,1,1,1,0,0,2.0,31.939393939393938,66,138.41103086014445,36.98245614035088,0.0,0,0.0,0.0,0.0,572.7073072188742,218.14546099290783,0.0,0.0,6.2825,5,Kolkata Knight Riders,3.0,5.0,26.0,28.5,68.0,51.19375,0
Faf du Plessis,Royal Challengers Banglore,7.0,19,ba,1,1,1,0,0,2.0,31.939393939393938,66,138.41103086014445,36.98245614035088,0.0,0,0.0,0.0,0.0,572.7073072188742,218.14546099290783,0.0,0.0,6.2825,5,Lucknow Super Giants,1.0,3.0,28.0,59.8,68.0,47.28125,0
Faf du Plessis,Royal Challengers Banglore,7.0,19,ba,1,1,1,0,0,2.0,31.939393939393938,66,138.41103086014445,36.98245614035088,0.0,0,0.0,0.0,0.0,572.7073072188742,218.14546099290783,0.0,0.0,6.2825,5,Mumbai Indians,1.0,2.0,29.0,48.0,68.0,48.75625,0
Faf du Plessis,Royal Challengers Banglore,7.0,19,ba,1,1,1,0,0,2.0,31.939393939393938,66,138.41103086014445,36.98245614035088,0.0,0,0.0,0.0,0.0,572.7073072188742,218.14546099290783,0.0,0.0,6.2825,5,Punjab Kings,1.0,1.0,30.0,54.5,68.0,47.94375,0
Faf du Plessis,Royal Challengers Banglore,7.0,19,ba,1,1,1,0,0,2.0,31.939393939393938,66,138.41103086014445,36.98245614035088,0.0,0,0.0,0.0,0.0,572.7073072188742,218.14546099290783,0.0,0.0,6.2825,5,Rajastan Royals,2.0,4.0,27.0,49.0,68.0,48.63125,0
Faf du Plessis,Royal Challengers Banglore,7.0,19,ba,1,1,1,0,0,2.0,31.939393939393938,66,138.41103086014445,36.98245614035088,0.0,0,0.0,0.0,0.0,572.7073072188742,218.14546099290783,0.0,0.0,6.2825,5,Royal Challengers Banglore,1.0,2.0,29.0,57.0,68.0,47.63125,1
